x_coord,y_coord,Diam_km
-176.110498,10.915063,9.473862
-176.08594,-32.642773,6.994276
-176.080929,49.613639,12.424027
-176.080687,16.261849,8.098426
-176.070473,57.931413,12.403237
-176.066836,43.109834,12.349588
-176.041811,-23.760181,6.872441
-176.032815,-13.423011,5.064699
-176.021405,31.480548,6.185381
-176.020542,6.718483,5.510331
-176.00507,44.756164,18.521893
-175.996327,10.356537,5.482864
-175.991632,41.810097,19.271558
-175.973121,34.66258,19.140022
-175.957386,17.773785,6.111411
-175.955007,13.453819,9.246475
-175.945555,30.863051,7.317098
-175.945115,43.8434,13.667994
-175.929405,52.758973,5.284568
-175.926509,-23.209928,5.649545
-175.923507,16.564495,10.709987
-175.919273,38.600434,9.757339
-175.919236,-12.992875,7.886339
-175.903226,-17.548131,17.521602
-175.891107,19.136644,9.031613
-175.889002,34.082157,6.751781
-175.874481,-9.582092,6.835043
-175.87137,53.211369,9.16617
-175.869713,50.50234,7.761477
-175.865331,10.767963,5.596347
-175.858392,8.177366,15.278055
-175.853436,33.169974,7.275964
-175.84439,14.910639,12.903369
-175.843452,15.326576,6.602829
-175.832756,-12.375167,6.627613
-175.823367,-51.783315,10.400715
-175.810952,-2.988187,5.351324
-175.807059,-0.03934,17.783983
-175.773654,-7.465838,5.831977
-175.748875,-2.99053,15.858751
-175.748683,-1.21179,11.640177
-175.741631,-10.509228,7.404601
-175.737125,-55.19036,6.25343
-175.732363,-30.867436,12.131001
-175.731027,2.227808,5.797673
-175.729754,17.52968,5.767204
-175.719597,5.847836,14.848424
-175.709698,9.323115,12.560586
-175.707753,10.313628,5.008471
-175.694082,15.618482,10.550443
-175.653985,-53.945753,13.042387
-175.640807,11.283157,5.233877
-175.613295,40.730906,13.619853
-175.61194,46.332556,10.152381
-175.607591,45.867958,5.47717
-175.596062,50.24463,6.676477
-175.594008,43.582662,5.712738
-175.582614,24.180079,7.060897
-175.573105,38.124253,7.527092
-175.486735,-58.405433,5.214609
-175.486149,39.646546,12.239217
-175.482448,16.036702,5.33222
-175.478349,55.016782,14.445844
-175.439325,4.969177,5.038844
-175.420993,1.393128,9.298197
-175.40978,-57.976855,9.854177
-175.40012,11.272026,11.614214
-175.392396,-9.858251,7.612964
-175.382778,40.008344,5.378362
-175.376283,-57.535434,8.459766
-175.371741,34.966611,7.312843
-175.368788,5.865129,10.164571
-175.366683,-51.054582,9.456206
-175.362679,8.070459,8.978141
-175.356202,12.270912,14.213615
-175.354801,8.336602,5.551333
-175.353972,18.711355,9.86453
-175.349444,-0.617693,10.983509
-175.348369,12.625971,9.782924
-175.341991,2.004275,9.889792
-175.324911,-9.39408,8.552478
-175.299248,52.894369,5.771121
-175.275054,28.870923,10.212244
-175.270838,-18.243758,12.304374
-175.268037,39.431535,17.481712
-175.265538,43.672625,10.100728
-175.248102,11.828517,12.215696
-175.227971,6.120206,9.262775
-175.218591,54.017619,12.000836
-175.214284,40.43113,5.948962
-175.197157,15.388081,6.967194
-175.196852,-5.518872,6.656286
-175.194677,10.934415,15.58237
-175.179138,41.277737,15.149968
-175.122294,55.661442,8.368496
-175.10004,38.082188,8.595087
-175.088564,45.403864,17.238914
-175.06536,16.006064,7.943583
-175.060506,43.806523,5.700096
-175.043054,57.091766,6.787376
-175.042838,32.416542,14.64724
-175.022025,24.887904,11.483588
-175.018973,47.360865,16.69839
-175.017662,24.262967,18.132937
-175.011836,36.123678,12.10006
-174.978248,7.699155,7.72862
-174.968348,35.805876,9.462382
-174.961822,18.124511,9.633235
-174.951249,-8.682165,8.91397
-174.950688,40.804299,5.220321
